objectid,parentid,group_count,title,creator,date,year,subject,description,county,city,location,latitude,longitude,type,format,filename,display_template,object_full,object_location,image_small,image_thumb
sanborn-albion-1928-003,albion-1928,3,"Sanborn Map of Albion, Cassia County, Idaho, 1928",Sanborn Map Company,1928,1928,,map page highlighting detailed information about the location's features,Cassia,Albion,"Albion, Idaho",,,Image;StillImage,image/jpg,sanborn-albion-1928-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-albion-1928-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-albion-1928-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-albion-1928-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-albion-1928-003_th.jpg"
american-falls-1907,,,"Sanborn Map of American Falls, Power County, Idaho, 1907",Sanborn Map Company,1907,1907,,group of map pages highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",42.78621742,-112.8549253,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1907-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1907-001_th.jpg"
sanborn-american-falls-1907-001,american-falls-1907,2,"Sanborn Map of American Falls, Power County, Idaho, 1907",Sanborn Map Company,1907,1907,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1907-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1907-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1907-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1907-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1907-001_th.jpg"
sanborn-american-falls-1907-002,american-falls-1907,2,"Sanborn Map of American Falls, Power County, Idaho, 1907",Sanborn Map Company,1907,1907,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1907-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1907-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1907-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1907-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1907-002_th.jpg"
american-falls-1911,,,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,group of map pages highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",42.78621742,-112.8549253,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-001_th.jpg"
sanborn-american-falls-1911-001,american-falls-1911,5,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1911-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1911-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1911-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-001_th.jpg"
sanborn-american-falls-1911-002,american-falls-1911,5,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1911-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1911-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1911-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-002_th.jpg"
sanborn-american-falls-1911-003,american-falls-1911,5,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1911-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1911-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1911-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-003_th.jpg"
sanborn-american-falls-1911-004,american-falls-1911,5,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1911-004.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1911-004.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1911-004.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-004_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-004_th.jpg"
sanborn-american-falls-1911-005,american-falls-1911,5,"Sanborn Map of American Falls, Power County, Idaho, 1911",Sanborn Map Company,1911,1911,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1911-005.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1911-005.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1911-005.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1911-005_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1911-005_th.jpg"
american-falls-1927,,,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,group of map pages highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",42.78621742,-112.8549253,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-001_th.jpg"
sanborn-american-falls-1927-001,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-001_th.jpg"
sanborn-american-falls-1927-002,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-002_th.jpg"
sanborn-american-falls-1927-003,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-003_th.jpg"
sanborn-american-falls-1927-004,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-004.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-004.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-004.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-004_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-004_th.jpg"
sanborn-american-falls-1927-005,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-005.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-005.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-005.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-005_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-005_th.jpg"
sanborn-american-falls-1927-006,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-006.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-006.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-006.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-006_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-006_th.jpg"
sanborn-american-falls-1927-007,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-007.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-007.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-007.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-007_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-007_th.jpg"
sanborn-american-falls-1927-008,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-008.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-008.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-008.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-008_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-008_th.jpg"
sanborn-american-falls-1927-009,american-falls-1927,9,"Sanborn Map of American Falls, Power County, Idaho, 1927",Sanborn Map Company,1927,1927,,map page highlighting detailed information about the location's features,Power,American Falls,"American Falls, Idaho",,,Image;StillImage,image/jpg,sanborn-american-falls-1927-009.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-american-falls-1927-009.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-american-falls-1927-009.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-american-falls-1927-009_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-american-falls-1927-009_th.jpg"
arco-1921,,,"Sanborn Map of Arco, Butte County, Idaho, 1921",Sanborn Map Company,1921,1921,,group of map pages highlighting detailed information about the location's features,Butte,Arco,"Arco, Idaho",43.63468414,-113.3016745,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-arco-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-arco-1921-001_th.jpg"
sanborn-arco-1921-001,arco-1921,4,"Sanborn Map of Arco, Butte County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Butte,Arco,"Arco, Idaho",,,Image;StillImage,image/jpg,sanborn-arco-1921-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-arco-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-arco-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-arco-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-arco-1921-001_th.jpg"
sanborn-arco-1921-002,arco-1921,4,"Sanborn Map of Arco, Butte County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Butte,Arco,"Arco, Idaho",,,Image;StillImage,image/jpg,sanborn-arco-1921-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-arco-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-arco-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-arco-1921-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-arco-1921-002_th.jpg"
sanborn-arco-1921-003,arco-1921,4,"Sanborn Map of Arco, Butte County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Butte,Arco,"Arco, Idaho",,,Image;StillImage,image/jpg,sanborn-arco-1921-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-arco-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-arco-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-arco-1921-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-arco-1921-003_th.jpg"
sanborn-arco-1921-004,arco-1921,4,"Sanborn Map of Arco, Butte County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Butte,Arco,"Arco, Idaho",,,Image;StillImage,image/jpg,sanborn-arco-1921-004.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-arco-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-arco-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-arco-1921-004_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-arco-1921-004_th.jpg"
sanborn-ashton-1909-001,,1,"Sanborn Map of Ashton, Fremont County, Idaho, 1909",Sanborn Map Company,1909,1909,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",44.07286016,-111.4497336,Image;StillImage,image/jpg,sanborn-ashton-1909-001.jpg,sanborn_map,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1909-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1909-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1909-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1909-001_th.jpg"
ashton-1921,,,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,group of map pages highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",44.07286016,-111.4497336,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-001_th.jpg"
sanborn-ashton-1921-001,ashton-1921,5,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",,,Image;StillImage,image/jpg,sanborn-ashton-1921-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-001_th.jpg"
sanborn-ashton-1921-002,ashton-1921,5,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",,,Image;StillImage,image/jpg,sanborn-ashton-1921-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-002_th.jpg"
sanborn-ashton-1921-003,ashton-1921,5,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",,,Image;StillImage,image/jpg,sanborn-ashton-1921-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-003_th.jpg"
sanborn-ashton-1921-004,ashton-1921,5,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",,,Image;StillImage,image/jpg,sanborn-ashton-1921-004.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-004_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-004_th.jpg"
sanborn-ashton-1921-005,ashton-1921,5,"Sanborn Map of Ashton, Fremont County, Idaho, 1921",Sanborn Map Company,1921,1921,,map page highlighting detailed information about the location's features,Fremont,Ashton,"Ashton, Idaho",,,Image;StillImage,image/jpg,sanborn-ashton-1921-005.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-ashton-1921-005.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-ashton-1921-005.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ashton-1921-005_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ashton-1921-005_th.jpg"
sanborn-bancroft-1915-001,,1,"Sanborn Map of Bancroft, Gem County, Idaho, 1915",Sanborn Map Company,1915,1915,,map page highlighting detailed information about the location's features,Gem,Bancroft,"Bancroft, Idaho",42.72029627,-111.8851954,Image;StillImage,image/jpg,sanborn-bancroft-1915-001.jpg,sanborn_map,https://objects.lib.uidaho.edu/sanborn/full/sanborn-bancroft-1915-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-bancroft-1915-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-bancroft-1915-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-bancroft-1915-001_th.jpg"
