objectid,parentid,group_count,title,creator,date,year,subject,description,county,city,location,latitude,longitude,type,format,filename,display_template,object_full,object_location,image_small,image_thumb
sanborn-aberdeen-1915-001,,1,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1915",Sanborn Map Company,1915,1915,public school; mennonite church; methodist episcopal church; hotel; blacksmith; dwelling; carpenter; garage; auto; hardware fume and harness; lodge hall; tin shop; dance hall; opera house; office; lumber shed; lime and cement; coal; grain warehouse; wagon and agricultural implement warehouse; bank; cellar; general merchandise; ice house; barber and pool; millinery; livery; meat; drugs; roman catholic church; presbyterian church; grocery warehouse; hay and grain; merchandise warehouse; grocery and bakery; grocery and confectionary; freight warehouse,map page highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",42.94428931,-112.8387636,Image;StillImage,image/jpg,sanborn-aberdeen-1915-001.jpg,sanborn_map,https://objects.lib.uidaho.edu/sanborn/full/sanborn-aberdeen-1915-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-aberdeen-1915-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1915-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1915-001_th.jpg"
aberdeen-1921,,,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1921",Sanborn Map Company,1921,1921,,group of map pages highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",42.94415583,-112.8390144,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1921-001_th.jpg"
sanborn-aberdeen-1921-001,aberdeen-1921,4,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1921",Sanborn Map Company,1921,1921,roman catholic church; dwelling; automobile; presbyterian church; flour and grain warehouse; storage shed; grain and potato warehouse; transfer and storage company; hotel; auto painting; corral; stock yard,map page highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",42.94643307,-112.8371996,Image;StillImage,image/jpg,sanborn-aberdeen-1921-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-aberdeen-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-aberdeen-1921-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1921-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1921-001_th.jpg"
sanborn-aberdeen-1921-002,aberdeen-1921,4,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1921",Sanborn Map Company,1921,1921,automobile; hardware furnishings and harness; lodge hall; tin shop; service garage; grain warehouse; office; lumber shed; lumber company; lime and cement; potato warehouse and cellar; granary; coal; grain company elevator; cellar; general merchandise; battery repairing; livery; ice house; grocery; drugs; confectionary and stationery; meat; kitchen; pool and barber; bank; printing; dwelling; post office; hardware; moving pictures; restaurant; freight warehouse; ticket office,map page highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",42.94410001,-112.8387671,Image;StillImage,image/jpg,sanborn-aberdeen-1921-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-aberdeen-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-aberdeen-1921-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1921-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1921-002_th.jpg"
sanborn-aberdeen-1921-003,aberdeen-1921,4,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1921",Sanborn Map Company,1921,1921,dwelling; automobile; blacksmith; hitching barn; classrooms; manual training; public school; auditorium; gymnasium,map page highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",42.94518632,-112.8429802,Image;StillImage,image/jpg,sanborn-aberdeen-1921-003.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-aberdeen-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-aberdeen-1921-003.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1921-003_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1921-003_th.jpg"
sanborn-aberdeen-1921-004,aberdeen-1921,4,"Sanborn Map of Aberdeen, Bingham County, Idaho, 1921",Sanborn Map Company,1921,1921,mennonite church,map page highlighting detailed information about the location's features,Bingham,Aberdeen,"Aberdeen, Idaho",,,Image;StillImage,image/jpg,sanborn-aberdeen-1921-004.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-aberdeen-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-aberdeen-1921-004.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-aberdeen-1921-004_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-aberdeen-1921-004_th.jpg"
sanborn-albion-1909-001,,1,"Sanborn Map of Albion, Cassia County, Idaho, 1909",Sanborn Map Company,1909,1909,,map page highlighting detailed information about the location's features,Cassia,Albion,"Albion, Idaho",42.41270749,-113.5787083,Image;StillImage,image/jpg,sanborn-albion-1909-001.jpg,sanborn_map,https://objects.lib.uidaho.edu/sanborn/full/sanborn-albion-1909-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-albion-1909-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-albion-1909-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-albion-1909-001_th.jpg"
albion-1928,,,"Sanborn Map of Albion, Cassia County, Idaho, 1928",Sanborn Map Company,1928,1928,,group of map pages highlighting detailed information about the location's features,Cassia,Albion,"Albion, Idaho",,,Image;StillImage,record,,sanborn_map,,,https://objects.lib.uidaho.edu/sanborn/small/sanborn-albion-1928-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-albion-1928-001_th.jpg"
sanborn-albion-1928-001,albion-1928,3,"Sanborn Map of Albion, Cassia County, Idaho, 1928",Sanborn Map Company,1928,1928,,map page highlighting detailed information about the location's features,Cassia,Albion,"Albion, Idaho",,,Image;StillImage,image/jpg,sanborn-albion-1928-001.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-albion-1928-001.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-albion-1928-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-albion-1928-001_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-albion-1928-001_th.jpg"
sanborn-albion-1928-002,albion-1928,3,"Sanborn Map of Albion, Cassia County, Idaho, 1928",Sanborn Map Company,1928,1928,,map page highlighting detailed information about the location's features,Cassia,Albion,"Albion, Idaho",,,Image;StillImage,image/jpg,sanborn-albion-1928-002.jpg,sanborn-child,https://objects.lib.uidaho.edu/sanborn/full/sanborn-albion-1928-002.jpg,https://objects.lib.uidaho.edu/sanborn/sanborn-albion-1928-002.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-albion-1928-002_sm.jpg,"https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-albion-1928-002_th.jpg"
