objectid,title,nearesttown,year,latitude,longitude,browselink,ccccampbuilder,contemporaryname,filename,moreimages,display_template,object_location,image_small,image_thumb
extantccc001,American Falls Hatchery,American Falls,1934,42.767412,-112.882997,G-142,,,,,ccc_building,,,
extantccc002,Antelope Creek Guard Station,Arco,1935,43.662769,-113.672065,F-111,"Camp Lightning Creek, F-111",Clark Fork Field Campus,AntelopeCreekGuardStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/AntelopeCreekGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/AntelopeCreekGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/AntelopeCreekGuardStation.jpg
extantccc003,Antelope Ranger Station,Clark Fork,1937,48.150331,-116.153142,F-404,"Camp Antelope, F-404",,,,ccc_building,,,
extantccc004,Arctic Point Fire Lookout,Chamberlain,1936,45.474563,-115.038654,,,,ArcticPointFireLookout.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/ArcticPointFireLookout.jpg,https://objects.lib.uidaho.edu/cccidaho/ArcticPointFireLookout.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/ArcticPointFireLookout.jpg
extantccc005,Ashton Ranger Station,Ashton,1934,44.072591,-111.446077,,,Ashton Warehouse,,,ccc_building,,,
extantccc006,Atlanta Ranger Station Historic District,Atlanta,1933,43.804845,-115.130471,F-175,"Camp Alexander Flat, F-175",,AtlantaRangerStationHistoricDistrict.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/AtlantaRangerStationHistoricDistrict.jpg,https://objects.lib.uidaho.edu/cccidaho/AtlantaRangerStationHistoricDistrict.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/AtlantaRangerStationHistoricDistrict.jpg
extantccc007,Avery Creek Cabin,Avery,1938,47.688402,-115.926608,,,,AveryCreekCabin.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/AveryCreekCabin.jpg,https://objects.lib.uidaho.edu/cccidaho/AveryCreekCabin.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/AveryCreekCabin.jpg
extantccc008,Bald Mountain Lookout,Ketchum,1942,43.654862,-114.409357,,,,,,ccc_building,,,
extantccc009,Barber Flat Guard Station,Idaho City,1935,43.812951,-115.536488,,,Barber Flat Cabin,BarberFlatGuardStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/BarberFlatGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/BarberFlatGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/BarberFlatGuardStation.jpg
extantccc010,Beaver Creek Guard Station,Idaho City,1934,43.965943,-115.608207,F-133,"Camp Beaver Creek, F-133",Beaver Creek Cabn,BeaverCreekGuardStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/BeaverCreekGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/BeaverCreekGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/BeaverCreekGuardStation.jpg
extantccc011,Big Smoky Guard Station,Feathervile,1933,43.624909,-114.884747,F-79,"Camp Big Smokey, F-79",,,,ccc_building,,,
extantccc012,Bishop Mountain Lookout and Cabin,Island Park,1938,44.333411,-111.553469,,,,,,ccc_building,,,
extantccc013,Bluenose Lookout,North Fork,1934,45.491859,-114.353435,,,,,,ccc_building,,,
extantccc014,Bogus Basin Ski Area,Boise,1939,43.76469,-116.102617,,,,,,ccc_building,,,
extantccc015,Boiling Springs Guard Station,Crouch,1935,44.364393,-115.856672,,,Boiling Springs Rental Cabin,BoilingSpringsGuardStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/BoilingSpringsGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/BoilingSpringsGuardStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/BoilingSpringsGuardStation.jpg
extantccc016,Boise Basin Experimental Forest,Idaho City,1933,43.834713,-115.84186,S-230,"Camp Centerville, S-230",,,,ccc_building,,,
extantccc017,Boise CCC District Headquarters,Boise,1930,43.605727,-116.21217,,,Papa Joe's Boise,BoiseCCCDistrictHeadquarters.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/BoiseCCCDistrictHeadquarters.jpg,https://objects.lib.uidaho.edu/cccidaho/BoiseCCCDistrictHeadquarters.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/BoiseCCCDistrictHeadquarters.jpg
extantccc018,Bowery Guard Station,Clayton,1941,43.977133,-114.498394,,,,,,ccc_building,,,
extantccc019,Brockman Guard Station,Swan Valley,1930,43.231584,-111.455226,,,,,,ccc_building,,,
extantccc020,Brown's Creek CCC Camp Barracks,Weippe,1930,46.376111,-115.936111,S-276,"Camp Brown's Creek, S-276",Weippe Public Library,Brown_sCreekCCCCampBarracks.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/Brown_sCreekCCCCampBarracks.jpg,https://objects.lib.uidaho.edu/cccidaho/Brown_sCreekCCCCampBarracks.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/Brown_sCreekCCCCampBarracks.jpg
extantccc021,Brundage Ski Area Hut,McCall,1930,45.00191,-116.135271,,,,,,ccc_building,,,
extantccc022,Buffalo Ranger Station,Island Park,1939,44.424649,-111.370293,BR-28,BR-28,Buffalo Guard Station,,,ccc_building,,,
extantccc023,Burgdorf Hot Springs,McCall,1930,45.276831,-115.913334,,,,,,ccc_building,,,
extantccc024,Carey Dome Fire Lookout,Burgdorf,1935,45.402778,-115.903333,,,,CareyDomeFireLookout2.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/CareyDomeFireLookout2.jpg,https://objects.lib.uidaho.edu/cccidaho/CareyDomeFireLookout2.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/CareyDomeFireLookout2.jpg
extantccc025,Caribou National Forest Supervisor's Office,Montpelier,1930,42.318918,-111.298283,,,Montpelier Warehouse Site,,,ccc_building,,,
extantccc026,Cayuse Landing Field Barn,Kelly Creek,1930,46.666028,-115.073459,,,,,,ccc_building,,,
extantccc027,Challis National Forest Supervisor’s Office,Challis,1935,44.506405,-114.221916,F-85,F-85,Middle Fork Ranger Station,ChallisNationalForestSupervisorsOffice.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/ChallisNationalForestSupervisorsOffice.jpg,https://objects.lib.uidaho.edu/cccidaho/ChallisNationalForestSupervisorsOffice.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/ChallisNationalForestSupervisorsOffice.jpg
extantccc028,Chamberlain Guard Station,Chamberlain,1939,45.379078,-115.196779,,,Chamberlain Ranger Station Historic District,ChamberlainGuardStation01.jpg,ChamberlainGuardStation02.jpg,ccc_building,https://objects.lib.uidaho.edu/cccidaho/ChamberlainGuardStation01.jpg,https://objects.lib.uidaho.edu/cccidaho/ChamberlainGuardStation01.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/ChamberlainGuardStation01.jpg
extantccc029,Clayton Ranger Station,Clayton,1934,44.258527,-114.489789,,,Yankee Fork Ranger Station,ClaytonRangerStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/ClaytonRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/ClaytonRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/ClaytonRangerStation.jpg
extantccc030,Cold Meadows Guard Station,McCall,1930,45.286111,-114.941111,,,,,,ccc_building,,,
extantccc031,Colson Creek Cabin,North Fork,1939,45.301641,-114.530208,F-401," Camp Cove Creek, F-401",Colson Creek Administrative Site,,,ccc_building,,,
extantccc032,Copper Creek Ranger Station,Salmon,1934,45.067675,-114.272045,,,Cobalt Summer Administrative Site,CopperCreekRangerStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/CopperCreekRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/CopperCreekRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/CopperCreekRangerStation.jpg
extantccc033,Cottonwood Ranger Station,Boise,1935,43.64017,-115.834827,,,Cottonwood Administrative Site,CottonwoodRangerStation1933.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/CottonwoodRangerStation1933.jpg,https://objects.lib.uidaho.edu/cccidaho/CottonwoodRangerStation1933.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/CottonwoodRangerStation1933.jpg
extantccc034,Cougar Point Campground,Salmon,1935,45.083216,-114.053082,,,,CougarPointCampground01.jpg,CougarPointCampground02.jpg,ccc_building,https://objects.lib.uidaho.edu/cccidaho/CougarPointCampground01.jpg,https://objects.lib.uidaho.edu/cccidaho/CougarPointCampground01.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/CougarPointCampground01.jpg
extantccc035,Council Ranger Station,Council,1933,44.730556,-116.431111,,,,CouncilRangerStation.jpg,,ccc_building,https://objects.lib.uidaho.edu/cccidaho/CouncilRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/CouncilRangerStation.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/CouncilRangerStation.jpg
extantccc036,Deadwood Guard Station,Lowman,1935,44.295799,-115.645052,F-66,"Camp Gallagher, F-66",,,,ccc_building,,,
