title,creator,date,date is approximate,description,location,county,region,features,flight_line,aerial-type,source,identifier,digitization specifications,rights,format,type,latitude,longitude,digital_collection,cd rom call number,publisher digital,language,date digital,date loaded,contributors,date created,date modified,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
A1394,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1394-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,51,aerial51,image,aerial51.jpg,https://objects.lib.uidaho.edu/aerial/aerial51.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial51_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial51_th.jpg,
A1398,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1398-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,52,aerial52,image,aerial52.jpg,https://objects.lib.uidaho.edu/aerial/aerial52.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial52_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial52_th.jpg,
A1399,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1399-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,53,aerial53,image,aerial53.jpg,https://objects.lib.uidaho.edu/aerial/aerial53.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial53_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial53_th.jpg,
A1406,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1406-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,54,aerial54,image,aerial54.jpg,https://objects.lib.uidaho.edu/aerial/aerial54.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial54_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial54_th.jpg,
A1407,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1407-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,55,aerial55,image,aerial55.jpg,https://objects.lib.uidaho.edu/aerial/aerial55.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial55_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial55_th.jpg,
A1408,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1408-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,56,aerial56,image,aerial56.jpg,https://objects.lib.uidaho.edu/aerial/aerial56.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial56_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial56_th.jpg,
A1410,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1410-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,57,aerial57,image,aerial57.jpg,https://objects.lib.uidaho.edu/aerial/aerial57.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial57_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial57_th.jpg,
A1414,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County, Idaho","Clearwater County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1414-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,58,aerial58,image,aerial58.jpg,https://objects.lib.uidaho.edu/aerial/aerial58.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial58_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial58_th.jpg,
A1447,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Idaho County, Idaho","Idaho County, Idaho",,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1447-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,59,aerial59,image,aerial59.jpg,https://objects.lib.uidaho.edu/aerial/aerial59.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial59_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial59_th.jpg,
A1449,166th Photo Section of the Washington National Guard,1933,,"Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Idaho County, Idaho","Idaho County, Idaho",McConnell Mountain,,,oblique-photo,"Partial sets of prints are located at the Clearwater National Forest Supervisor's office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and two copies are being retained by the University of Idaho Library. One will be kept in Special Collections.",A 1449-33,Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections & Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections & Archives.",image/jpeg,Image;StillImage,,,Idaho Aerial Photograph Collection,CD-ROM F746.P76 1997,University of Idaho Library,eng,1997,2008-12-01,Dennis Baird,2009-01-07,2014-10-28,60,aerial60,image,aerial60.jpg,https://objects.lib.uidaho.edu/aerial/aerial60.jpg,https://objects.lib.uidaho.edu/aerial/small/aerial60_sm.jpg,https://objects.lib.uidaho.edu/aerial/thumbs/aerial60_th.jpg,
