f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"Irrigable lands near Starrahs Ferry, Idaho (Panoramic 1)",W.J.L.,1903,,Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; fields; agriculture; irrigation,"Burley, Idaho",,,42.520124,-113.831947,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 100,,,NARA16DC208,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,10,archivalidaho10,image,archivalidaho10.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho10.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho10_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho10_th.jpg,
Lemhi River protective bank built by farmer,,1939,,Photo text: 'Oct. 1939.' This image is part of a Rivers and Harbors series.,flooding; floods; surveys; people,"Lemhi County, Idaho",,,44.11715,-114.93161,NARA College Park; Still Photo Branch,562,,SalmonR14a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,11,archivalidaho11,image,archivalidaho11.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho11.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho11_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho11_th.jpg,
Wilson and Harbor Lakes,"Prater, L.J.",1964,,Aerial image.,national forests; mountains; lakes; peaks; landscapes,"Sawtooth National Forest, Idaho",,,45.141678,-114.592879,,510180,,Sal13Chal99,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,12,archivalidaho12,image,archivalidaho12.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho12.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho12_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho12_th.jpg,
"Slopes below Pine Creek, Salmon River","Swartz, U.S.",1926,,A view of the slopes below Pine Creek on the Salmon River in the Salmon-Challis National Forest.,national forests; trees; rivers; creeks; landscapes,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.363582,-114.300708,,217468,United States Forest Service,IntermtnPics68,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,13,archivalidaho13,image,archivalidaho13.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho13.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho13_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho13_th.jpg,
"Original Boise Airport, aerial",,1940,yes,"Aerial image and survey of first Boise Airport near Boise River, the current site of Boise State University",airport; air strip; landing field; runway; city; aerial; survey,"Boise, Idaho",,,43.60294,-116.19845,,,United States Geological Survey,NARA10StlPht12,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,14,archivalidaho14,image,archivalidaho14.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho14.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho14_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho14_th.jpg,
"Saw mill and millworkers on Lake Creek, Buffalo Hump",,1905,,Saw mill and millworkers on Lake Creek near Buffalo Hump.,mountains; forests; logging; industry; natural resources; saw mills; lumber; buildings; people; horses; national forests,"Nez Perce National Forest, Idaho",Buffalo Hump,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC266,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,15,archivalidaho15,image,archivalidaho15.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho15.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho15_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho15_th.jpg,
High water and debris at Spalding,"Johnston, S.L.",1938,,"Photo text: 'Clearwater River near Spalding, Idaho. High water during April, 1938, washed debris over rock-filled bank on Indian Fuel Wood Booming Grounds - No damage done. Nez Perce Reservation May, 1938' Note: This image is part of a pictorial supplement to a report on the North Idaho Agency and the Civilian Conservation Corps - Indian Division by Sidney L. Johnston, Assoc. Forest Engineer.",CCC; Civilian Conservation Corps; Indian; division;  roads; floods; flooding; debris,"Spalding, Idaho",,,46.44683,-116.81737,NARA DC; RG 75; E 1000 CCC - Indian Division; North Idaho Agency; Box 151,,,NARA16DC234a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,16,archivalidaho16,image,archivalidaho16.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho16.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho16_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho16_th.jpg,
CCC Camp F-92 in winter,,1934,,CCC Camp F-92 in winter,CCC; Civilian Conservation Corps; camps; winter; snow,"Salmon-Challis National Forest, Idaho",,,45.363379,-114.299258,,,,Sal13Chal70,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,17,archivalidaho17,image,archivalidaho17.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho17.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho17_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho17_th.jpg,
"Lardo, a summer resort on Big Payette Lake","Benedict, R.E.",1904,,"This is image is part of a report on the proposed Payette Forest Reserve by R.E. Benedict, 1904.",national forests; lakes; buildings; resorts; recreation,"McCall, Idaho",,,44.912072,-116.119624,R-4 History Files Idaho NF Boundans Box 87,42454,United States Forest Service,OGDEN138,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,18,archivalidaho18,image,archivalidaho18.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho18.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho18_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho18_th.jpg,
"Cabin at Smith Gulch, Magruder Ranger District",,1965,,"Photo text: 'July 28, 1965.'",watershed management; settlers; pioneers; homesteaders; homesteads; buildings; cabins; rivers; claims; national forests,"payette national forest, idaho; salmon-challis national forest, idaho",,,45.485496,-114.975708,,,United States Forest Service,Payette33,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,19,archivalidaho19,image,archivalidaho19.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho19.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho19_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho19_th.jpg,
Burnt Fork CCC Camp (F-12),"Swan, K.D.",1933,,A view of the Burnt Fork Civilian Conservation Corps Camp (F-12).,national forests; CCC; Civilian Conservation Corps; people; camps; buildings; tents,Idaho,Burnt Fork,,47.31992,-116.23488,NARA College Park; RG 95; GP Series; Box 68,282322,United States Forest Service,NARA0815DC107,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,20,archivalidaho20,image,archivalidaho20.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho20.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho20_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho20_th.jpg,
"Challis Dam site, reconnaissance",,1939,,"Photo text: 'Canyon Reservoir. Clearwater River looking West. A 300 foot Dam would make water about 200 feet deep at this point. Sept. 22, 1939.' This image is part of a Rivers and Harbors series.",national forests; rivers; dams,"Challis, Idaho",,,46.52369,-116.29608,NARA College Park; Still Photo Branch,555,,SalmonR9,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,21,archivalidaho21,image,archivalidaho21.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho21.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho21_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho21_th.jpg,
Governor Ross visits Salmon Road Project,,1930,yes,"Photo text: 'Gov. Ross (right), Ralph Knepper, owner Recorder Herald (middle), John Kinney, Salmon National Forest Supervisor (left).'",national forests; governor; government; official; rivers; roads; construction; machinery,"Salmon-Challis National Forest, Idaho",,,45.180929,-116.302118,,,,Sal13Chal94,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,22,archivalidaho22,image,archivalidaho22.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho22.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho22_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho22_th.jpg,
"Chief Wolf Necklace in regalia and blanket, studio glass negative",,1920,yes,Glass negative of Chief Wolf Necklace in traditional dress. Print is labeled as 'Paloos' also spelled 'Palus'.,Indian; tribes; reservations; Paloos; Palus; chief; portrait,"Spalding, Idaho; Nez Perce Reservation, Idaho",,,46.44683,-116.81737,NARA College Park; Still Photo Branch; RG106 Chief Wold Necklace. Palus; 1899; 1 May; IN_108,,,NARA16DC113,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,23,archivalidaho23,image,archivalidaho23.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho23.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho23_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho23_th.jpg,
Construction of Sheepeater Lookout,,1976,,Construction of Sheepeater Lookout,fire lookouts; lookouts; ranger stations; peaks; points; buildings; national forests,"Payette National Forest, Idaho",,,45.389857,-115.346894,,,United States Forest Service,Payette71,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,24,archivalidaho24,image,archivalidaho24.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho24.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho24_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho24_th.jpg,
"Canyon road below Salmon, Idaho",,1939,,This image is part of a Rivers and Harbors series.,national forests; towns; cities; landscapes; roads,"Salmon, Idaho",,,45.177772,-113.898531,NARA College Park; Still Photo Branch,1067,,SalmonR22a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,25,archivalidaho25,image,archivalidaho25.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho25.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho25_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho25_th.jpg,
"Kellogg, Idaho, vertical aerial (CF-3-17)",,1937,,"Vertical aerial images of Kellogg, Idaho and Coeur d'Alene River (3 of 3).",cities; towns; aerial; buildings,"Kellogg, Idaho",,,47.550936,-116.192283,,,United States Geological Survey,NARA10StlPht31,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,26,archivalidaho26,image,archivalidaho26.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho26.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho26_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho26_th.jpg,
Aerial of Moose Creek Ranger Station and air field,,1957,yes,"This image is part of a series of aerials, images, and planning documents for the Moose Creek Ranger Station landing field and strips.",,"Nez Perce-Clearwater National Forest, Idaho; Selway-Bitterroot Wilderness, Idaho",,,46.12265,-114.925536,NARA Seattle; RG 95; R-1 Improvement Airstrips; G2 A 293; Box 5,,United States Forest Service,MooseCr127,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,27,archivalidaho27,image,archivalidaho27.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho27.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho27_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho27_th.jpg,
Captain Guleke and small craft on Salmon River,,1919,,Photo text: 'July 1919.',national forests; rivers; boats; people,"Salmon-Challis National Forest, Idaho",,,45.406546,-114.024335,,,,Sal13Chal80,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,28,archivalidaho28,image,archivalidaho28.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho28.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho28_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho28_th.jpg,
Looking toward Lost River Mountains from Grants Peak,"Cox, W.T.",1904,,"This image is part of a document titled 'Report upon the proposed Salmon River Forest and additions to Sawtooth, Bitterroot, and Lemhi Reserves, Idaho.' Collected by William T. Cox, 1904.",mountains; ranges; peaks; points; basins; valleys; forests; landscapes; panoramas; national forests,"Stanley, Idaho; Salmon-Challis National Forest, Idaho; Sawtooth National Forest, Idaho",,,43.888407,-114.612415,,57618,United States Forest Service,OGDEN7,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,29,archivalidaho29,image,archivalidaho29.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho29.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho29_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho29_th.jpg,
"Men survey flood damage related to 1910 fire, Placer Creek","Swan, K.D.",1938,,"Photo text: 'Flood damage in Wallace, Idaho April 1938, caused by Placer Creek. The watershed of Placer Creek was burned by forest fires in 1910. Since that time Wallace has been menaced by periodic spring freshnets, caused by the rapid melting of deep snow on denuded slopes.'",big burn; flood; creek; national forests; fire; survey; people,"Wallace, Idaho",,,47.473597,-115.926582,NARA College Park RG 95; Box 480,361719,United States Forest Service,NARA0315DC39,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,30,archivalidaho30,image,archivalidaho30.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho30.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho30_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho30_th.jpg,
Sunbeam Dam on Salmon River,"Smith, E.S.",1920,,A view of Sunbeam Dam on the Salmon River in the Salmon-Challis National Forest.,rivers; dams,"Salmon-Challis National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.27038,-114.735939,,150261,United States Forest Service,IntermtnPics25,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,31,archivalidaho31,image,archivalidaho31.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho31.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho31_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho31_th.jpg,
