f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Scenes from a CCC camp,"Swan, K.D.",1930,,Four photographs showing scenes from a Civilian Conservation Corps camp.,national forests; CCC; Civilian Conservation Corps; people; camps; buildings; tents,"Boise National Forest, Idaho",French Creek,,,,NARA College Park; RG 95; GP Series; Box 68,278051,United States Forest Service,NARA0815DC101,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,0,archivalidaho0,image,archivalidaho0.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho0.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho0_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho0_th.jpg,
"Orofino, Idaho","Chief, Militia Bureau",1936,,"Aerial image of Orofino, Idaho and Clearwater River.",cities; towns; aerial; buildings; rivers; buildings,"Orofino, Idaho",,,46.47935,-116.25514,,,,NARA10StlPht45,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,1,archivalidaho1,image,archivalidaho1.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho1.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho1_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho1_th.jpg,
"Johnson Flying Service, Trimotor Ford","Hockaday, J.M.",1954,,"Photo text: 'Sept. 1, 1954.'",planes; airports; air strips; landing strips; landing fields; people; national forests,"Payette National Forest, Idaho",,,45.128427,-115.322963,,,United States Forest Service,Payette46,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2,archivalidaho2,image,archivalidaho2.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho2.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho2_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho2_th.jpg,
"Cutting a fire line, Graham Creek","Morris, W.W.",1910,yes,Photo text: 'Cutting our first fire line Graham Creek. (Picture of Prof. Kirkwood U. of Montana and Guard Fulkerth working on fire.)' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; fire fighting; fire line; people;  burns; big burn,"Graham Creek, Idaho",,,47.650864,-116.08913,,,United States Forest Service,pic_2014-09-30_004831,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,3,archivalidaho3,image,archivalidaho3.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho3.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho3_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho3_th.jpg,
CCC crew cleaning drain ditch near Marsing,P.B.,1935,,Note: This image is part of records by the Bureau of Reclamation associate with Boise projects.,Bureau of Reclamation; reservations; native americans; indians; people; farming; agriculture; irrigation,"Marsing, Idaho",,,43.53814,-116.808364,NARA College Park; Still Photo Branch; RG 115; JC Boise Project; Box 27,,,NARA16DC219,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,4,archivalidaho4,image,archivalidaho4.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho4.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho4_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho4_th.jpg,
"North-south highway, Salmon River Canyon",,1925,,"North-south highway, Salmon River Canyon",rivers; roads; highways; canyons; national forests,"Payette National Forest, Idaho, Lucille, Idaho",,,45.527864,-116.302951,,,United States Forest Service,Payette98,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,5,archivalidaho5,image,archivalidaho5.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho5.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho5_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho5_th.jpg,
Homesteader Ned Bennett,,1906,yes,"A substantial biography of Ned Bennett is include with the image. A geographic note: A creek flowing into Lower Loon Creek was named Bennett after Mr. Bennett. However, at some point, Powder and Bennett Creeks' names were switched make Bennett Powder Creek and vice versa.",national forests; cabins; homesteads; homesteaders; pioneers; log; buildings; claims; people; portraits,"Salmon-Challis National Forest, Idaho",,,44.761292,-114.810301,,,,Sal13Chal179,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,6,archivalidaho6,image,archivalidaho6.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho6.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho6_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho6_th.jpg,
"O'Hara Ranger Station, man stands outside",,1920,,"O'Hara Ranger Station, man stands outside",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Nez Perce-Clearwater National Forest, Idaho",,,46.088404,-115.518644,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,49068A,United States Forest Service,R1EngrPics19a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,7,archivalidaho7,image,archivalidaho7.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho7.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho7_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho7_th.jpg,
Yellowjacket Lake at base of Sugar Loaf Mountain,"Pearson, T.V.",1937,,Photo text: 'Sept. 1937.',national forests; lakes; mountains; peaks; points; landscapes,"Salmon-Challis National Forest, Idaho",,,45.066779,-114.555243,,351226,United States Forest Service,IntermtnPics70,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,8,archivalidaho8,image,archivalidaho8.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho8.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho8_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho8_th.jpg,
Big Creek Lake from Pearl Lake Pass,"McDonald, C.H.",1959,,Photo text: 'Big Creek Lake from Pearl Lake Pass - Looking N. to Idaho line - site of proposed Skyline Trail. Lake farmer reservoired - in Wilderness.' This image is part of a series recording trail work and outdoor education in the Bitterroot National Forest.,national forests; passes; groups; trails; lakes,"Bitterroot National Forest, Montana; Bitterroot National Forest, Idaho",,,46.492008,-114.363683,,,United States Forest Service,RG95JK5,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,9,archivalidaho9,image,archivalidaho9.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho9.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho9_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho9_th.jpg,
